Grid ID,Visual Description on Collage,Current Category,Current Caption on Website,Suggested New Caption,Suggested New Category,Notes / Approval
A1,Woman speaking at Heal Your Life booth / banner,Global Mentors,With Global Mentors Patricia Crane & Rick Nichols,,,
A2,Aarti in green/white saree sitting with small circle on floor,HYL Cohorts,Subconscious Emotional Healing Circle,,,
A3,Group of 8 standing indoors smiling (Aarti in green saree),Community,Healing Circle Community Gathering,,,
A4,Group of women standing in circle holding sheets & singing,HYL Cohorts,Experiential Learning & Reflection,,,
B1,Warm living room circle with candlelight & tea table,Community,"Circle of Love, Joy & Peace",,,
B2,Aarti Gupta seated on chair in green & white silk saree,HYL Cohorts,Aarti Gupta Guiding Group Meditation,,,
B3,"Aarti standing with open arms, participants sitting looking up",HYL Cohorts,Radiant Self-Love Breakthrough Group,,,
B4,Seminar attendees seated at round tables with blue tablecloths,Community,Institutional Faculty Development Program,,,
C1,Purple HYL informational workshop flyer / poster,HYL Cohorts,"Love Yourself, Heal Your Life® Cohort",,,
C2,"Participants sitting on floor leaning forward, writing exercises",HYL Cohorts,Deep Introspection & Journaling Circle,,,
C3,Aarti with smiling group of women in sarees and kurtas,Community,Joyous Connection & Sisterhood Circle,,,
C4,Louise Hay sitting by window holding participant hands,Global Mentors,"Master Teachers: Louise Hay, Wayne Dyer & Brian Weiss",,,
D1,Workshop cohort on tiled outdoor porch with Louise Hay banner,HYL Cohorts,"Love Yourself, Heal Your Life® Cohort",,,
D2,Mega-collage of international mentors & historic moments,Global Mentors,"Master Teachers: Louise Hay, Wayne Dyer & Brian Weiss",,,
D3,Aarti Gupta with 7 participants holding Tibetan Singing Bowls,Sound & Energy,Tibetan Singing Bowls & Sound Therapy,,,
D4,"Indoor workshop group with participants, mothers & children",Community,Joyful Family & Community Healing Circle,,,
E1,Group kneeling & holding up affirmation cards (A Gift of Love),HYL Cohorts,Affirmation & Self-Love Circle,,,
E2,Green Sound Therapy poster (Best Nourishment & Medicine),Sound & Energy,Sound Therapy Wisdom & Healing,,,
E3,"Aarti keynote presentation at BITSAA Global Meet, Hyderabad",Community,Keynote at BITSAA Global Meet,,,
E4,Circle sitting on ornate carpet doing hand energy healing,Sound & Energy,Sound Healing & Meditation Circle,,,
F1,Women seated in a circle on white floor cushions,HYL Cohorts,Sacred Container for Emotional Healing,,,
F2,Youth & teen growth lab with facilitators & colorful banner,Community,Youth & Adolescent Personal Growth Lab,,,
F3,Participants in deep relaxation/shavasana in dimly lit hall,Sound & Energy,Guided Breathwork & Sacred Sound Immersion,,,
F4,Outside gate with green foliage & blue Healing Circle plaque,Sound & Energy,Sacred Altar & Crystal Energy Tools,,,
G1,The Marriage Mound magazine article feature,HYL Cohorts,Heart-Centered Script Repatterning,,,
G2,Aarti Gupta with Dr. Patricia Crane & Rick Nichols (holding book),Global Mentors,Global HYL Leadership with Dr. Patricia Crane,,,
G3,Title graphic: Love Yourself Heal Your Life — Journey to Self-Love,HYL Cohorts,Louise Hay Philosophy Intensive Cohort,,,
G4,Group photo with heart badges: HYL @ Healing Circle,Community,Community Celebration & Joy,,,
H1,International HYL women training cohort with mentors,Global Mentors,Certified by Master Trainers Crane & Nichols,,,
H2,Collage of Aarti conducting processes & receiving certificate,HYL Cohorts,Heal Your Life® Transformational Cohort,,,
H3,Group celebration holding hands (participant in orange shirt),Community,Celebration of Personal Transformation,,,
H4,Large boardroom meeting with facilitator seated cross-legged,HYL Cohorts,Complete Transformational Journey Cohort,,,
I1,"Collage with sticky-note board, Aarti in saree & auditorium",HYL Cohorts,Inner Child & Affirmation Circle,,,
I2,Large lecture hall audience of women & students listening,HYL Cohorts,Empowered Living & Gratitude Expression,,,
I3,University classroom filled with students writing exercises,HYL Cohorts,Inner Child Healing & Reconnection,,,
I4,Zoom virtual workshop grid 1 with diverse participants,HYL Cohorts,Daily Affirmations & Self-Care Circle,,,
J1,Zoom virtual healing circle grid 2,HYL Cohorts,Group Forgiveness & Release of the Past,,,
J2,Women seated closely with all hands joined in the center,HYL Cohorts,Forgiveness & Emotional Release Process,,,
J3,Reclining emotional release & sound therapy session with Aarti,Sound & Energy,Singing Bowls & Sound Resonance Session,,,
J4,Group in white & festive attire on flower petal rangoli,Sound & Energy,Reiki Degree Certification & Attunement,,,
K1,Zoom interactive breakout grid 3,HYL Cohorts,Emotional Release & Acceptance Circle,,,
K2,Zoom spiritual study & affirmation grid 4,HYL Cohorts,Transformational Mirror Work Process,,,
K3,Radiant group holding Archangel & Affirmation cards,Sound & Energy,Reiki Energy Healing & Hands-on Alignment,,,
